id,pid,name,oj
500,0,AOAPC I: Beginning Algorithm Contests (Rujia Liu),nil
501,500,Volume 0. Getting Started,nil
502,501,10055,uva
503,501,10071,uva
504,501,10300,uva
505,501,458,uva
506,501,494,uva
507,501,414,uva
508,501,490,uva
509,501,445,uva
510,501,488,uva
511,501,489,uva
512,501,694,uva
513,501,457,uva
514,500,Volume 1. Elementary Problem Solving,nil
515,514,String,nil
516,515,401,uva
517,515,10010,uva
518,515,10361,uva
519,515,537,uva
520,515,409,uva
521,515,10878,uva
522,515,10815,uva
523,515,644,uva
524,515,10115,uva
525,514,Big Number,nil
526,525,424,uva
527,525,10106,uva
528,525,465,uva
529,525,748,uva
530,525,10494,uva
531,514,Sorting/Searching,nil
532,531,340,uva
533,531,10420,uva
534,531,10474,uva
535,531,152,uva
536,531,299,uva
537,531,120,uva
538,531,156,uva
539,531,400,uva
540,531,123,uva
541,531,10194,uva
542,531,755,uva
543,531,10785,uva
544,514,Maths - Misc,nil
545,544,113,uva
546,544,10161,uva
547,544,253,uva
548,544,621,uva
549,544,10025,uva
550,544,591,uva
551,544,107,uva
552,544,573,uva
553,544,846,uva
554,544,10499,uva
555,544,10790,uva
556,544,11044,uva
557,544,10719,uva
558,544,10177,uva
559,544,10916,uva
560,544,10970,uva
561,544,10014,uva
562,514,Maths - Number Theory,nil
563,562,575,uva
564,562,10110,uva
565,562,550,uva
566,562,568,uva
567,562,408,uva
568,562,350,uva
569,562,10061,uva
570,562,10392,uva
571,562,10879,uva
572,514,Maths - Simple Geometry,nil
573,572,10250,uva
574,572,579,uva
575,572,375,uva
576,572,10387,uva
577,572,10112,uva
578,500,Volume 2. Data Structures,nil
579,578,Lists,nil
580,579,127,uva
581,579,101,uva
582,579,133,uva
583,579,10152,uva
584,579,673,uva
585,579,442,uva
586,579,11111,uva
587,579,11234,uva
588,579,540,uva
589,579,10050,uva
590,578,Binary Trees,nil
591,590,112,uva
592,590,548,uva
593,590,297,uva
594,590,712,uva
595,590,699,uva
596,590,327,uva
597,590,839,uva
598,590,10562,uva
599,578,Graphs,nil
600,599,572,uva
601,599,657,uva
602,599,784,uva
603,599,705,uva
604,599,439,uva
605,599,532,uva
606,599,10557,uva
607,599,10047,uva
608,599,10004,uva
609,599,10129,uva
610,599,10054,uva
611,599,10596,uva
612,599,10305,uva
613,599,196,uva
614,500,Volume 3. Brute Force,nil
615,614,Elementary Skills,nil
616,615,10167,uva
617,615,11205,uva
618,615,131,uva
619,615,146,uva
620,615,10098,uva
621,615,729,uva
622,615,592,uva
623,615,110,uva
624,614,Backtracking - Easy,nil
625,624,10474,uva
626,624,216,uva
627,624,639,uva
628,624,539,uva
629,624,301,uva
630,624,10344,uva
631,624,331,uva
632,624,10012,uva
633,624,165,uva
634,624,167,uva
635,624,10001,uva
636,624,140,uva
637,624,193,uva
638,624,208,uva
639,614,Backtracking - Hard,nil
640,639,10123,uva
641,639,10160,uva
642,639,197,uva
643,639,185,uva
644,639,307,uva
645,639,317,uva
646,639,387,uva
647,639,519,uva
648,639,529,uva
649,639,565,uva
650,639,502,uva
651,639,322,uva
652,614,Implicit Graph Traversal,nil
653,652,10603,uva
654,652,10422,uva
655,652,10085,uva
656,652,310,uva
657,652,321,uva
658,652,704,uva
659,614,Hashing / Sets,nil
660,659,188,uva
661,659,10282,uva
662,659,10391,uva
663,659,10125,uva
664,659,10887,uva
665,659,141,uva
666,659,10591,uva
667,614,Rujia Liu's Problems for Beginners,nil
668,667,11218,uva
669,667,11198,uva
670,667,10274,uva
671,667,11210,uva
672,667,10624,uva
673,500,Volume 4. Algorithm Design,nil
674,673,10905,uva
675,673,10763,uva
676,673,10132,uva
677,673,270,uva
678,673,10341,uva
679,673,10057,uva
680,673,10706,uva
681,673,10487,uva
682,673,10340,uva
683,673,10700,uva
684,673,10026,uva
685,673,311,uva
686,673,10020,uva
687,673,10714,uva
688,673,10954,uva
689,673,714,uva
690,673,10602,uva
691,673,10400,uva
692,673,10718,uva
693,673,11054,uva
694,673,10382,uva
695,673,10670,uva
696,673,10720,uva
697,673,993,uva
698,673,10716,uva
699,673,11100,uva
700,673,10245,uva
701,673,11129,uva
702,673,10041,uva
703,673,507,uva
704,673,108,uva
705,673,10827,uva
706,673,757,uva
707,673,10148,uva
708,500,Volume 5. Dynamic Programming,nil
709,708,111,uva
710,708,103,uva
711,708,10405,uva
712,708,674,uva
713,708,10003,uva
714,708,116,uva
715,708,10131,uva
716,708,10066,uva
717,708,10192,uva
718,708,147,uva
719,708,357,uva
720,708,562,uva
721,708,348,uva
722,708,624,uva
723,708,10130,uva
724,708,531,uva
725,708,10465,uva
726,708,10285,uva
727,708,437,uva
728,708,10404,uva
729,708,620,uva
730,708,825,uva
731,708,10069,uva
732,708,10534,uva
733,708,10051,uva
734,708,10651,uva
735,708,590,uva
736,708,10306,uva
737,708,10739,uva
738,708,10304,uva
739,708,10271,uva
740,708,10617,uva
741,708,11137,uva
742,708,10154,uva
743,708,10201,uva
744,708,10453,uva
745,708,10029,uva
746,708,10313,uva
747,708,10401,uva
748,708,10891,uva
749,708,11151,uva
750,708,10911,uva
751,708,10635,uva
752,708,10564,uva
753,708,662,uva
754,708,10626,uva
755,708,10118,uva
756,708,607,uva
757,708,10604,uva
758,708,10913,uva
759,708,11008,uva
760,708,10723,uva
761,708,11258,uva
762,708,10599,uva
763,708,10817,uva
764,708,10163,uva
765,708,709,uva
766,708,10280,uva
767,708,10558,uva
768,708,11081,uva
769,500,Volume 6. Mathematical Concepts and Methods,nil
770,769,138,uva
771,769,10006,uva
772,769,128,uva
773,769,106,uva
774,769,10673,uva
775,769,11121,uva
776,769,10791,uva
777,769,10717,uva
778,769,10820,uva
779,769,571,uva
780,769,11029,uva
781,769,10023,uva
782,769,10308,uva
783,769,10105,uva
784,769,10375,uva
785,769,11027,uva
786,769,10056,uva
787,769,10491,uva
788,769,10759,uva
789,769,542,uva
790,769,10277,uva
791,769,10169,uva
792,769,11181,uva
793,769,557,uva
794,769,10900,uva
795,769,11176,uva
796,769,10417,uva
797,769,10183,uva
798,769,10303,uva
799,769,10518,uva
800,769,10862,uva
801,769,10334,uva
802,769,10229,uva
803,769,763,uva
804,769,10236,uva
805,769,991,uva
806,769,10079,uva
807,769,10940,uva
808,769,10359,uva
809,769,10519,uva
810,769,10918,uva
811,769,11069,uva
812,769,10910,uva
813,769,10254,uva
814,769,10328,uva
815,769,10157,uva
816,769,10247,uva
817,769,10516,uva
818,769,10128,uva
819,769,10081,uva
820,769,10943,uva
821,769,10721,uva
822,769,10912,uva
823,769,10616,uva
824,769,11125,uva
825,769,10205,uva
826,769,701,uva
827,769,696,uva
828,769,254,uva
829,769,10994,uva
830,769,306,uva
831,769,10570,uva
832,500,Volume 7. Graph Algorithms and Implementation Techniques,nil
833,832,567,uva
834,832,10034,uva
835,832,10048,uva
836,832,10397,uva
837,832,10369,uva
838,832,658,uva
839,832,10099,uva
840,832,10801,uva
841,832,10986,uva
842,832,558,uva
843,832,515,uva
844,832,104,uva
845,832,125,uva
846,832,10803,uva
847,832,10330,uva
848,832,10806,uva
849,832,11045,uva
850,832,753,uva
851,832,563,uva
852,832,10746,uva
853,832,10594,uva
854,832,10985,uva
855,832,10608,uva
856,832,10158,uva
857,832,10269,uva
858,832,10273,uva
